threads  config       schedule       L1-loads      L1-misses      LLC-loads     LLC-misses     time_s
----------------------------------------------------------------------------------------------------------
1        (seq)        -             309399323        8716001        2121608            151   0.261442
2        sqrt         static        322254147       18302198        4716312            626   0.149662
2        sqrt         dynamic       317899839       17854780        4469337           7268   0.148100
2        sqrt         guided        321316037       17926747        4641938            722   0.149620
2        every10      static        702224665       72001803       18363473           1249   0.271605
2        every10      dynamic       703882629       72443005       17896849           3673   0.268167
2        every10      guided        699091198       71692285       18227746            835   0.268785
2        every1000    static        280223106        9404808        2657105            215   0.137354
2        every1000    dynamic       280570051        9770707        2540966           2812   0.135760
2        every1000    guided        283696942        9428033        2563829           3435   0.138117
2        statespace   static        292767427        9749076        2437823            886   0.147640
2        statespace   dynamic       294510254        9920915        2540234           4360   0.147608
2        statespace   guided        293502275        9259775        2416519           1081   0.143279
2        hogwild      static        214168329        9785272        2820043             89   0.112426
2        hogwild      dynamic       214712580        9806975        2740097            165   0.112501
2        hogwild      guided        214493925        9351288        2786463            118   0.110612
4        sqrt         static        516680789       32715009        8228189           7710   0.126125
4        sqrt         dynamic       522082631       31684847        7864697          11365   0.126324
4        sqrt         guided        507679777       32557914        8286628          10035   0.125183
4        every10      static       1171848658      126573409       29535531          12490   0.242909
4        every10      dynamic      1163278277      124055213       29112971           4581   0.236572
4        every10      guided       1155464674      125289957       29841822           6082   0.240367
4        every1000    static        389540200       10582428        3339836          13897   0.108137
4        every1000    dynamic       381690810       11386817        3449028          12353   0.106244
4        every1000    guided        389966012       11852870        3654378           3814   0.107107
4        statespace   static        408897454       10750872        3441017            265   0.112172
4        statespace   dynamic       403839899       10698117        3348005           4914   0.110329
4        statespace   guided        399843211       10338734        3550085            328   0.112539
4        hogwild      static        214177778        8013788        2829767             38   0.064481
4        hogwild      dynamic       216274817        9315175        3364589            205   0.061858
4        hogwild      guided        216158456       10459237        3554407            106   0.063219
8        sqrt         static        891035821       68227501       18466041           1402   0.117764
8        sqrt         dynamic       893648235       69979706       18765722           1060   0.116304
8        sqrt         guided        877196646       69327231       18560151           2492   0.116479
8        every10      static       2011638333      232396240       54177448          10976   0.246975
8        every10      dynamic      2011089291      232688668       53929078          11239   0.244132
8        every10      guided       2000133892      233230230       53041684           8172   0.246616
8        every1000    static        455166289       10834703        3656717            845   0.068812
8        every1000    dynamic       460436286       13040342        3296653            935   0.068948
8        every1000    guided        429619204       11637928        3673979           2171   0.068920
8        statespace   static        456629483        9327896        2993866           2120   0.068160
8        statespace   dynamic       445471871        9348350        3100594           1315   0.067686
8        statespace   guided        453304091        9695255        2936683            846   0.067735
8        hogwild      static        204552803       13062870        4180133          12929   0.032576
8        hogwild      dynamic       219693694       10840001        4146224           5954   0.032572
8        hogwild      guided        221597200       10852308        4329095           6407   0.033086
16       sqrt         static       1698881555      201759521       61668368        4205832   0.169347
16       sqrt         dynamic      1704722249      198496250       60502941        4430126   0.170179
16       sqrt         guided       1690084220      200501299       60858869        4199304   0.170593
16       every10      static       3549483364      489706502      147558503        9815207   0.351128
16       every10      dynamic      3536897288      479320554      146633059        9651522   0.350048
16       every10      guided       3571380598      495557102      148707492       10715334   0.355518
16       every1000    static        504902256       10079904        3434445         106860   0.049898
16       every1000    dynamic       509024831        9301635        3297275          96773   0.049436
16       every1000    guided        503022963       10634006        3921679         129516   0.049402
16       statespace   static        450254505        9480674        3046112          39053   0.047190
16       statespace   dynamic       487530529       10459703        2771311          41326   0.046759
16       statespace   guided        462341531       10543145        2582563          51762   0.047202
16       hogwild      static        186715762        8369867        4288867        1250420   0.022306
16       hogwild      dynamic       183821658        9156163        3950589        1154143   0.021848
16       hogwild      guided        197928090        7183954        3437139        1648618   0.022164
20       sqrt         static       2250532391      288247629      151430766       34595645   0.230822
20       sqrt         dynamic      2221749488      284720863      153040782       33130659   0.225766
20       sqrt         guided       2216155066      286210476      151372833       34511774   0.229767
20       every10      static       4221982839      615690570      328059278       76552119   0.438323
20       every10      dynamic      4288946031      625499240      338135936       77276962   0.438317
20       every10      guided       4278482194      624365107      339097995       77367050   0.437981
20       every1000    static        570647418       14245543        5912698         786062   0.048282
20       every1000    dynamic       511817844       15941623        4735399         678707   0.047540
20       every1000    guided        528919313       15259889        5553158         803732   0.048579
20       statespace   static        543163074       10752942        2643490         166870   0.047200
20       statespace   dynamic       447079661       10435655        2761629         169634   0.045250
20       statespace   guided        435668740        9606767        2522768          96615   0.044436
20       hogwild      static        133740806        6515760        4526991        1533663   0.018672
20       hogwild      dynamic       190495195        4789471        3594805        1089924   0.018315
20       hogwild      guided        198831490        7853844        4821961        1748378   0.019198
40       sqrt         static       2271582211      249788048      136900378       37771080   0.204285
40       sqrt         dynamic      2257748502      247168727      134896180       37549970   0.207433
40       sqrt         guided       2286783253      254559365      136200301       37493827   0.205772
40       every10      static       7944472096      985569875      538660947      152227479   0.694485
40       every10      dynamic      7934175467      989502715      538570687      153357937   0.693872
40       every10      guided       7907971764      981055939      538484615      152930523   0.695137
40       every1000    static        575625530       16953797        7683389        1500156   0.062495
40       every1000    dynamic       570363038       18385982        8820210        1377056   0.062464
40       every1000    guided        656554361       18718759        9954159        1419816   0.063506
40       statespace   static        516034377       10598352        2191410          61189   0.057176
40       statespace   dynamic       504543321        9373828        2501836          63590   0.057569
40       statespace   guided        506537272       10796293        2437715          60980   0.056760
40       hogwild      static        169095262        6059157        2420400        1332921   0.014030
40       hogwild      dynamic       224252579        7856773        2800625        1490421   0.014722
40       hogwild      guided        304509233        1765943        2073616        1534727   0.014015
