threads  sync_mode    schedule       L1-loads      L1-misses      LLC-loads     LLC-misses     time_s
----------------------------------------------------------------------------------------------------------
1        (seq)        -              15254192          28070            222             20   0.015761
2        sqrt         static          9801753         106058          27495            183   0.006067
2        sqrt         dynamic         8649760         113694          28919            202   0.005986
2        sqrt         guided         10703692         104298          25622            264   0.005938
2        statespace   static          7776450          85594          17845            165   0.005743
2        statespace   dynamic         8045625          98793          22381            223   0.005774
2        statespace   guided          9063957          86894          18981            265   0.005822
2        hogwild      static          9797183         451578         233395            280   0.006359
2        hogwild      dynamic         5959434         417037         255909            126   0.006491
2        hogwild      guided          3370530         359360         219466           2493   0.006547
4        sqrt         static         10440020         287688         117627            390   0.004495
4        sqrt         dynamic         6566715         308793         116481            200   0.004178
4        sqrt         guided          6054981         251952         123210           1963   0.004228
4        statespace   static         10353003         169145          58610            557   0.003691
4        statespace   dynamic         2140138         192295          66531            146   0.003625
4        statespace   guided         10826242         182343          67450            810   0.003655
4        hogwild      static          8693301         716093         444860            374   0.004204
4        hogwild      dynamic         7355085         750338         469930            385   0.004480
4        hogwild      guided          8470686         604791         369034           1413   0.004277
8        sqrt         static         16180400         888220         465887           1038   0.004766
8        sqrt         dynamic        15539959         901544         490218            779   0.004236
8        sqrt         guided         11606407         906430         515212            641   0.004378
8        statespace   static          7152910         365480         208462            341   0.003008
8        statespace   dynamic         8501558         384025         213782            448   0.002954
8        statespace   guided          6390591         372471         214625            341   0.002956
8        hogwild      static          3449995         866168         479591            482   0.003396
8        hogwild      dynamic         8953560         707252         432281            868   0.003437
8        hogwild      guided          2835661        1038052         741637            166   0.003619
16       sqrt         static         31368681        1256018        1590194         486408   0.011910
16       sqrt         dynamic        33653410        1303173        1571641         492564   0.012581
16       sqrt         guided         33056107        1315260        1567294         481325   0.013234
16       statespace   static         21363073         545800         512451         116268   0.004620
16       statespace   dynamic        19035377         506793         511985         114421   0.004835
16       statespace   guided          9598081         835238         580795         140241   0.005030
16       hogwild      static         12904410        1009498         786708         282078   0.007162
16       hogwild      dynamic        16604266        1337049        1110690         405331   0.006537
16       hogwild      guided         29108310         610983         840039         317690   0.006503
20       sqrt         static         53517589        3093475        1299755         475595   0.015246
20       sqrt         dynamic        51514489        1582211        1779327         579704   0.016261
20       sqrt         guided         62415533        3983775        3033225         551306   0.018765
20       statespace   static         19957032        1025268         732538         174493   0.005311
20       statespace   dynamic         4627912        1068882         799877         176821   0.005524
20       statespace   guided         18958454         954488         703905         159569   0.006022
20       hogwild      static         49008005         419733         971700         347620   0.007280
20       hogwild      dynamic        31191058         528809         939585         345605   0.007010
20       hogwild      guided         36611283         584080         975714         358341   0.007028
40       sqrt         static         54628629        1535805        1738180         599787   0.010769
40       sqrt         dynamic        51657960        1271022        1592787         595614   0.011053
40       sqrt         guided         61239403         429384         961803         481880   0.013472
40       statespace   static         38794498         733426         832721         237212   0.006674
40       statespace   dynamic        59405030         543136         836507         235926   0.007032
40       statespace   guided         34414044        1074388         989339         285603   0.008390
40       hogwild      static         33569649        1319020        1322141         438001   0.007215
40       hogwild      dynamic        19605550        1086365         888570         349530   0.006580
40       hogwild      guided         32473750         990488        1099361         387595   0.007270
