grid_size,threads,episodes,obstacles,Blocks
10,10,1000,5,1
20,5,100,5,1
100,10,1000,20,1
5,1,100,1,1
5,1,1000,1,1
10,40,1000,5,1
20,10,100,1,1
5,5,100,20,1
10,1,100,5,1
100,1,1000,20,1
10,20,100,5,1
5,2,100,5,1
100,2,100,1,1
100,2,1000,5,1
5,5,1000,5,1
10,10,100,1,1
100,5,100,1,1
20,40,100,5,1
100,5,100,20,1
20,40,1000,1,1
10,2,100,1,1
10,40,100,20,1
5,2,1000,5,1
100,2,100,20,1
100,20,100,20,1
100,5,1000,1,1
10,1,1000,5,1
10,2,1000,1,1
5,2,100,20,1
100,5,100,5,1
5,20,100,1,1
5,2,1000,1,1
5,20,100,20,1
100,2,100,5,1
5,20,1000,20,1
20,40,1000,20,1
20,10,1000,5,1
20,5,1000,20,1
5,40,100,5,1
20,20,1000,1,1
10,2,1000,20,1
20,40,100,1,1
100,10,100,20,1
100,1,1000,5,1
10,20,1000,1,1
20,1,100,20,1
20,10,100,20,1
10,1,100,1,1
20,2,100,1,1
10,40,1000,1,1
10,2,1000,5,1
10,20,1000,5,1
10,2,100,20,1
20,2,1000,1,1
100,1,100,1,1
20,40,1000,5,1
5,20,1000,5,1
20,1,100,1,1
20,20,1000,5,1
20,1,1000,20,1
5,5,100,5,1
100,1,1000,1,1
5,1,100,5,1
5,2,1000,20,1
10,10,100,20,1
20,20,100,1,1
100,10,1000,1,1
5,10,1000,1,1
20,5,100,20,1
100,40,100,5,1
100,20,100,5,1
20,20,100,20,1
10,5,1000,20,1
100,40,1000,1,1
20,2,1000,5,1
5,10,1000,5,1
10,1,1000,20,1
10,10,100,5,1
10,5,100,20,1
5,20,100,5,1
10,1,100,20,1
100,10,1000,5,1
10,40,100,5,1
100,2,1000,20,1
10,10,1000,20,1
20,5,1000,1,1
100,10,100,5,1
5,40,100,20,1
100,20,1000,1,1
100,5,1000,5,1
20,2,1000,20,1
100,2,1000,1,1
20,2,100,5,1
5,10,100,5,1
100,40,1000,20,1
100,10,100,1,1
100,1,100,20,1
5,2,100,1,1
5,1,100,20,1
20,20,100,5,1
10,10,1000,1,1
10,20,100,1,1
5,5,100,1,1
100,20,1000,20,1
20,10,1000,1,1
5,1,1000,20,1
5,1,1000,5,1
10,5,100,5,1
5,40,1000,1,1
10,1,1000,1,1
20,10,1000,20,1
100,40,100,20,1
10,40,100,1,1
10,20,100,20,1
20,10,100,5,1
100,5,1000,20,1
20,5,1000,5,1
5,10,1000,20,1
5,40,1000,20,1
10,2,100,5,1
20,20,1000,20,1
5,10,100,1,1
5,40,1000,5,1
20,40,100,20,1
10,40,1000,20,1
100,1,100,5,1
100,20,1000,5,1
20,1,1000,1,1
20,1,1000,5,1
100,40,1000,5,1
100,40,100,1,1
5,10,100,20,1
20,1,100,5,1
100,20,100,1,1
5,5,1000,1,1
5,20,1000,1,1
10,20,1000,20,1
10,5,100,1,1
5,40,100,1,1
10,5,1000,1,1
10,5,1000,5,1
20,2,100,20,1
20,5,100,1,1
5,5,1000,20,1
100,10,1000,5,2
100,2,1000,5,2
20,5,100,5,2
10,1,100,5,2
5,40,100,1,2
20,20,100,5,2
100,1,1000,1,2
100,2,100,20,2
20,2,100,5,2
10,20,100,1,2
10,2,100,5,2
100,20,100,5,2
5,5,1000,20,2
100,2,1000,20,2
20,40,100,20,2
20,1,100,20,2
20,2,1000,5,2
100,5,100,20,2
100,2,100,1,2
20,10,100,5,2
10,10,1000,5,2
100,2,100,5,2
5,1,1000,1,2
5,20,100,1,2
10,5,1000,20,2
20,1,1000,20,2
5,40,100,5,2
5,40,100,20,2
20,2,1000,20,2
20,20,1000,1,2
100,10,1000,1,2
20,40,1000,20,2
10,20,1000,5,2
10,10,100,5,2
100,10,100,5,2
10,5,100,5,2
20,20,1000,20,2
20,40,100,1,2
5,2,1000,1,2
100,1,100,5,2
10,5,100,20,2
20,5,100,1,2
20,10,1000,20,2
5,1,100,1,2
10,1,1000,5,2
10,1,100,1,2
10,40,1000,5,2
20,40,1000,1,2
10,10,100,20,2
10,5,1000,1,2
20,2,1000,1,2
10,10,100,1,2
10,10,1000,20,2
20,5,100,20,2
100,1,100,1,2
20,2,100,1,2
10,2,1000,1,2
5,10,1000,1,2
10,20,100,5,2
5,10,1000,20,2
100,5,1000,5,2
20,20,100,1,2
100,40,100,1,2
100,10,100,20,2
5,40,1000,5,2
100,40,1000,1,2
20,20,100,20,2
10,5,100,1,2
100,5,1000,1,2
5,5,100,20,2
100,20,1000,5,2
5,10,1000,5,2
10,40,100,1,2
100,10,100,1,2
5,1,1000,5,2
20,20,1000,5,2
10,10,1000,1,2
5,5,1000,5,2
100,20,1000,20,2
5,2,100,5,2
100,20,100,1,2
100,5,100,5,2
20,10,1000,1,2
20,5,1000,20,2
5,20,100,5,2
10,40,100,20,2
20,5,1000,1,2
10,1,100,20,2
5,2,1000,20,2
20,40,100,5,2
5,5,1000,1,2
20,1,100,1,2
5,1,1000,20,2
10,20,1000,1,2
10,40,1000,20,2
5,5,100,1,2
10,40,1000,1,2
100,1,1000,5,2
100,20,100,20,2
100,1,1000,20,2
100,40,1000,20,2
20,1,100,5,2
5,10,100,5,2
20,1,1000,1,2
5,2,100,20,2
5,20,1000,1,2
5,1,100,5,2
20,40,1000,5,2
10,2,1000,20,2
10,20,100,20,2
20,1,1000,5,2
5,40,1000,20,2
10,2,1000,5,2
10,5,1000,5,2
5,10,100,20,2
20,10,100,20,2
5,20,1000,20,2
100,40,1000,5,2
5,2,100,1,2
10,40,100,5,2
100,20,1000,1,2
100,10,1000,20,2
20,10,100,1,2
100,2,1000,1,2
5,10,100,1,2
100,1,100,20,2
10,2,100,1,2
100,40,100,5,2
10,20,1000,20,2
100,5,100,1,2
10,2,100,20,2
20,5,1000,5,2
10,1,1000,20,2
5,1,100,20,2
100,5,1000,20,2
10,1,1000,1,2
5,2,1000,5,2
20,10,1000,5,2
100,40,100,20,2
20,2,100,20,2
5,5,100,5,2
5,40,1000,1,2
5,20,1000,5,2
5,20,100,20,2
10,5,1000,20,3
100,2,100,5,3
20,1,1000,5,3
20,1,1000,1,3
20,40,1000,1,3
20,10,100,20,3
20,1,100,20,3
100,1,1000,20,3
100,20,100,5,3
5,2,1000,20,3
5,10,100,1,3
5,40,100,20,3
5,10,1000,1,3
10,5,100,20,3
5,20,1000,5,3
100,5,1000,20,3
100,1,1000,1,3
100,5,1000,5,3
20,20,100,1,3
10,20,100,1,3
20,20,1000,20,3
100,10,1000,20,3
20,10,1000,1,3
5,2,1000,5,3
10,40,1000,1,3
10,10,1000,5,3
20,40,100,5,3
100,40,100,5,3
100,2,100,20,3
10,40,100,5,3
10,2,100,20,3
20,2,1000,1,3
20,40,1000,5,3
5,1,1000,1,3
100,40,100,20,3
5,5,1000,1,3
10,40,100,20,3
5,2,1000,1,3
20,20,100,20,3
5,10,1000,20,3
20,40,100,1,3
100,2,100,1,3
5,10,100,5,3
100,40,1000,20,3
5,20,100,1,3
5,5,100,1,3
5,2,100,20,3
5,1,1000,20,3
100,5,100,5,3
100,10,100,1,3
20,2,100,5,3
100,2,1000,5,3
20,2,100,1,3
100,40,1000,1,3
5,40,1000,5,3
5,40,1000,1,3
20,5,100,1,3
20,1,1000,20,3
100,1,100,1,3
10,2,1000,5,3
20,1,100,5,3
5,40,100,1,3
10,5,100,1,3
100,5,1000,1,3
10,20,100,20,3
10,5,1000,5,3
10,40,1000,5,3
10,1,1000,5,3
10,2,100,5,3
10,10,100,5,3
10,40,100,1,3
20,5,1000,5,3
5,20,100,5,3
100,1,100,20,3
20,5,100,20,3
20,5,1000,20,3
5,5,1000,5,3
10,1,1000,20,3
10,10,1000,1,3
20,10,100,1,3
100,20,100,1,3
5,10,100,20,3
20,1,100,1,3
10,1,100,5,3
10,2,1000,20,3
5,40,1000,20,3
100,10,100,20,3
100,40,1000,5,3
20,20,100,5,3
20,5,1000,1,3
20,2,100,20,3
100,10,1000,1,3
20,40,100,20,3
10,20,1000,1,3
5,2,100,1,3
20,20,1000,1,3
20,10,1000,20,3
5,5,1000,20,3
10,10,100,20,3
10,5,1000,1,3
100,20,100,20,3
100,5,100,20,3
10,20,100,5,3
20,10,100,5,3
5,10,1000,5,3
