threads,grid_size,sync_mode,sync_interval,episodes,schedule,chunk,obstacles_pct,block,training_time_s,converged,vtune_elapsed_s,vtune_ipc,vtune_mem_bound_pct,thread_cpu_time_s,thread_wait_time_s,thread_spin_time_s,thread_overhead_time_s,thread_eff_cpu_util_pct
20,50,sqrt,10,10000,static,1,50,1,0.650146,no,0.661,1.539,22.7,NA,NA,NA,NA,NA
4,10,sqrt,1000,10000,guided,0,0,1,0.003151,yes,0.010,1.417,0.0,NA,NA,NA,NA,NA
40,50,statespace,0,5000,guided,0,0,1,0.022413,no,0.034,0.724,35.7,NA,NA,NA,NA,NA
2,10,hogwild,0,10000,dynamic,1,0,1,0.006441,yes,0.017,1.142,75.0,NA,NA,NA,NA,NA
4,50,hogwild,0,10000,dynamic,1,0,1,0.022776,yes,0.031,1.281,74.1,NA,NA,NA,NA,NA
4,10,sqrt,0,5000,static,0,50,1,0.004954,yes,0.011,1.453,46.9,NA,NA,NA,NA,NA
8,50,sqrt,0,5000,dynamic,10,0,1,0.059079,no,0.072,0.857,18.5,NA,NA,NA,NA,NA
16,100,statespace,0,5000,guided,0,0,1,0.033616,no,0.057,1.146,33.2,NA,NA,NA,NA,NA
4,10,hogwild,0,5000,static,1,0,1,0.002346,yes,0.023,0.988,0.0,NA,NA,NA,NA,NA
2,50,sqrt,10,10000,static,0,50,1,1.466032,no,1.475,3.909,2.9,NA,NA,NA,NA,NA
8,10,sqrt,1000,10000,static,10,0,1,0.002695,yes,0.015,1.166,0.0,NA,NA,NA,NA,NA
2,10,sqrt,1000,10000,dynamic,0,0,1,0.004883,yes,0.014,1.469,68.0,NA,NA,NA,NA,NA
2,100,sqrt,1000,10000,dynamic,1,0,1,0.130933,yes,0.145,1.392,10.8,NA,NA,NA,NA,NA
20,10,sqrt,10,10000,static,1,50,1,0.036902,yes,0.046,0.258,100.0,NA,NA,NA,NA,NA
2,50,sqrt,0,10000,dynamic,1,0,1,0.046041,yes,0.057,1.591,13.4,NA,NA,NA,NA,NA
40,50,sqrt,10,5000,dynamic,0,0,1,0.120432,no,0.141,0.406,52.5,NA,NA,NA,NA,NA
40,10,sqrt,0,10000,static,0,50,1,0.016477,yes,0.025,0.312,80.3,NA,NA,NA,NA,NA
40,50,hogwild,0,5000,guided,1,50,1,0.078897,no,0.088,2.169,20.9,NA,NA,NA,NA,NA
8,100,statespace,0,10000,guided,10,0,1,0.068950,no,0.088,1.306,8.6,NA,NA,NA,NA,NA
8,50,sqrt,10,10000,dynamic,10,50,1,3.381928,no,3.395,1.329,12.3,NA,NA,NA,NA,NA
2,50,statespace,0,10000,dynamic,0,50,1,1.286001,no,1.293,4.326,0.9,NA,NA,NA,NA,NA
2,10,sqrt,10,10000,static,10,0,1,0.013158,yes,0.027,1.084,32.5,NA,NA,NA,NA,NA
40,10,sqrt,10,10000,guided,1,50,1,0.039860,yes,0.051,0.200,100.0,NA,NA,NA,NA,NA
40,100,hogwild,0,10000,static,10,50,1,0.953130,no,0.979,2.432,2.8,NA,NA,NA,NA,NA
20,10,sqrt,10,10000,dynamic,1,0,1,0.032778,yes,0.053,0.206,100.0,NA,NA,NA,NA,NA
8,100,sqrt,1000,10000,static,10,0,1,0.073019,no,0.082,1.274,11.4,NA,NA,NA,NA,NA
8,10,hogwild,0,5000,dynamic,0,50,1,0.003169,yes,0.014,1.185,0.0,NA,NA,NA,NA,NA
16,100,sqrt,0,5000,dynamic,1,0,1,0.125005,no,0.139,0.924,58.4,NA,NA,NA,NA,NA
4,100,sqrt,0,10000,static,10,0,1,0.173519,no,0.187,1.224,13.0,NA,NA,NA,NA,NA
4,50,sqrt,10,10000,guided,1,0,1,0.071466,yes,0.081,1.655,20.0,NA,NA,NA,NA,NA
16,100,hogwild,0,5000,static,1,50,1,0.795890,no,0.824,3.947,5.6,NA,NA,NA,NA,NA
20,100,hogwild,0,10000,dynamic,10,0,1,0.020717,yes,0.031,0.843,91.0,NA,NA,NA,NA,NA
8,100,sqrt,0,10000,static,1,0,1,0.118034,no,0.127,1.432,31.4,NA,NA,NA,NA,NA
4,100,sqrt,10,5000,guided,10,50,1,8.888842,no,8.913,3.712,4.2,NA,NA,NA,NA,NA
8,10,sqrt,10,5000,guided,10,50,1,0.018720,yes,0.025,0.634,41.0,NA,NA,NA,NA,NA
40,100,sqrt,10,5000,dynamic,1,50,1,2.249001,no,2.287,1.013,23.1,NA,NA,NA,NA,NA
8,50,sqrt,0,5000,guided,10,50,1,0.865592,no,0.878,2.325,8.7,NA,NA,NA,NA,NA
20,100,statespace,0,5000,guided,1,0,1,0.033941,no,0.043,1.115,37.2,NA,NA,NA,NA,NA
2,50,statespace,0,10000,guided,1,50,1,1.313359,no,1.331,4.319,1.2,NA,NA,NA,NA,NA
20,100,sqrt,0,5000,static,10,0,1,0.231363,no,0.241,0.614,45.4,NA,NA,NA,NA,NA
2,50,statespace,0,5000,guided,1,0,1,0.029127,yes,0.038,1.423,29.7,NA,NA,NA,NA,NA
8,50,statespace,0,10000,guided,0,50,1,0.473915,no,0.483,4.278,0.9,NA,NA,NA,NA,NA
2,100,sqrt,1000,5000,dynamic,0,50,1,4.341977,no,4.368,4.595,0.6,NA,NA,NA,NA,NA
8,50,sqrt,10,10000,static,1,0,1,0.080563,yes,0.089,1.283,34.0,NA,NA,NA,NA,NA
4,50,sqrt,1000,10000,guided,0,50,1,0.776362,no,0.785,4.279,1.3,NA,NA,NA,NA,NA
40,10,sqrt,0,10000,guided,1,50,1,0.018329,yes,0.027,0.282,78.7,NA,NA,NA,NA,NA
2,50,sqrt,1000,5000,guided,10,0,1,0.029151,no,0.040,1.427,28.9,NA,NA,NA,NA,NA
8,100,statespace,0,5000,dynamic,10,0,1,0.039315,no,0.053,1.260,34.5,NA,NA,NA,NA,NA
40,50,sqrt,1000,5000,static,0,50,1,0.137772,no,0.151,2.226,20.8,NA,NA,NA,NA,NA
40,100,sqrt,0,5000,dynamic,1,0,1,0.127038,no,0.140,0.464,63.6,NA,NA,NA,NA,NA
4,100,sqrt,0,10000,static,0,50,1,5.075340,no,5.114,4.444,1.2,NA,NA,NA,NA,NA
4,50,hogwild,0,10000,guided,0,0,1,0.023599,yes,0.029,1.264,72.0,NA,NA,NA,NA,NA
2,100,sqrt,1000,5000,guided,10,0,1,0.097682,no,0.110,1.351,8.7,NA,NA,NA,NA,NA
4,10,sqrt,1000,10000,static,1,0,1,0.003293,yes,0.010,1.394,29.5,NA,NA,NA,NA,NA
16,50,statespace,0,10000,dynamic,0,50,1,0.298089,no,0.329,4.132,2.4,NA,NA,NA,NA,NA
4,100,sqrt,0,10000,dynamic,1,50,1,5.050649,no,5.082,4.448,1.4,NA,NA,NA,NA,NA
16,10,sqrt,0,10000,static,10,50,1,0.024013,yes,0.029,0.463,80.9,NA,NA,NA,NA,NA
2,100,statespace,0,5000,guided,10,50,1,4.352547,no,4.380,4.593,0.7,NA,NA,NA,NA,NA
4,50,sqrt,10,5000,static,1,0,1,0.044650,yes,0.051,1.551,20.9,NA,NA,NA,NA,NA
20,10,statespace,0,5000,guided,10,50,1,0.006640,yes,0.016,0.645,0.0,NA,NA,NA,NA,NA
8,100,sqrt,0,10000,dynamic,1,50,1,2.910315,no,2.935,4.096,3.3,NA,NA,NA,NA,NA
40,50,sqrt,0,10000,guided,10,0,1,0.129285,no,0.142,0.423,31.7,NA,NA,NA,NA,NA
20,100,hogwild,0,5000,static,1,0,1,0.015055,yes,0.034,0.827,68.7,NA,NA,NA,NA,NA
16,10,sqrt,1000,5000,static,10,0,1,0.002918,yes,0.011,0.722,0.0,NA,NA,NA,NA,NA
16,50,hogwild,0,5000,static,1,0,1,0.007834,yes,0.016,0.759,62.4,NA,NA,NA,NA,NA
